"avg_rooms_per_dwelling","business_acres","charles_river_adjacency","crime_rate","distance_to_employment_center","highway_accessibility_index","land_zone","median_house_value","nitric_oxide_concentration","property_tax_rate","pupil_teacher_ratio","units_prior_1940"
"5.854","19.58",0,"2.24236","2.422",5,0,"22.7","0.605",403,"14.7","91.8"
"6.98","18.1",0,"4.64689","2.5329",24,0,"29.8","0.614",666,"20.2","67.6"
"6.086","6.2",0,"0.33045","3.6519",8,0,24,"0.507",307,"17.4","61.5"
"6.232","12.83",0,"0.05646","5.0141",5,0,"21.2","0.437",398,"18.7","53.7"
"5.813","8.14",0,"0.98843","4.0952",4,0,"14.5","0.538",307,21,100
"6.421","7.07",0,"0.02731","4.9671",2,0,"21.6","0.469",242,"17.8","78.9"
"4.88","18.1",0,"14.3337","1.5895",24,0,"10.2","0.7",666,"20.2",100
"6.683","18.1",1,"5.66998","1.3567",24,0,50,"0.631",666,"20.2","96.8"
"6.453","2.25",0,"0.01096","7.3073",1,55,22,"0.389",300,"15.3","31.9"
"5.036","18.1",0,"11.5779","1.77",24,0,"9.7","0.7",666,"20.2",97
"5.983","27.74",0,"0.11132","2.1099",4,0,"20.1","0.609",711,"20.1","83.5"
"6.059","5.19",0,"0.03306","4.8122",5,0,"20.6","0.515",224,"20.2","37.3"
"7.249","1.22",0,"0.01311","8.6966",5,90,"35.4","0.403",226,"17.9","21.9"
"8.04","6.2",0,"0.38214","3.2157",8,0,"37.6","0.504",307,"17.4","86.5"
"6.538","6.96",0,"0.1146","3.9175",3,20,"24.4","0.464",223,"18.6","58.7"
"8.725","6.2",0,"0.52693","2.8944",8,0,50,"0.504",307,"17.4",83
"6.129","19.58",1,"1.41385","1.7494",5,0,17,"0.871",403,"14.7",96
"7.416","2.89",0,"0.0686","3.4952",2,0,"33.2","0.445",276,18,"62.5"
"6.51","19.58",0,"1.42502","1.7659",5,0,"23.3","0.871",403,"14.7",100
"6.976","11.93",0,"0.06076","2.1675",1,0,"23.9","0.573",273,21,91
"5.747","18.1",0,"7.67202","1.6334",24,0,"8.5","0.693",666,"20.2","98.9"
"6.606","4.93",0,"0.09252","6.1899",6,30,"23.3","0.428",300,"16.6","42.2"
"5.605","5.86",0,"0.19133","7.9549",7,22,"18.5","0.431",330,"19.1","70.2"
"4.97","18.1",0,"4.89822","1.3325",24,0,50,"0.631",666,"20.2",100
"5.344","10.59",1,"0.43571","3.875",4,0,20,"0.489",277,"18.6",100
"6.943","19.58",0,"1.22358","1.8773",5,0,"41.3","0.605",403,"14.7","97.4"
"6.335","21.89",0,"0.55778","2.1107",4,0,"18.1","0.624",437,"21.2","98.2"
"5.896","18.1",0,"15.8603","1.9096",24,0,"8.3","0.679",666,"20.2","95.4"
"5.869","5.19",0,"0.03427","5.2311",5,0,"19.5","0.515",224,"20.2","46.3"
"8.398","3.97",0,"0.52014","2.2885",5,20,"48.8","0.647",264,13,"91.5"
"6.625","2.89",0,"0.12204","3.4952",2,0,"28.4","0.445",276,18,"57.8"
"6.794","11.93",0,"0.10959","2.3889",1,0,22,"0.573",273,21,"89.3"
"6.223","18.1",0,"17.8667","1.3861",24,0,"10.2","0.671",666,"20.2",100
"6.144","3.24",0,"0.04544","5.8736",4,0,"19.8","0.46",430,"16.9","32.2"
"6.998","2.18",0,"0.03237","6.0622",3,0,"33.4","0.458",222,"18.7","45.8"
"5.88","19.58",0,"2.3139","2.3887",5,0,"19.1","0.605",403,"14.7","97.3"
"5.879","25.65",0,"0.09849","2.0063",2,0,"18.8","0.581",188,"19.1","95.8"
"6.968","3.33",0,"0.03705","5.2447",5,20,"35.4","0.4429",216,"14.9","37.2"
"7.079","3.41",0,"0.05302","3.4145",2,0,"28.7","0.489",270,"17.8","63.1"
"5.884","1.69",0,"0.07244","10.7103",4,60,"18.6","0.411",411,"18.3","18.5"
"7.82","3.33",0,"0.03578","4.6947",5,20,"45.4","0.4429",216,"14.9","64.5"
"6.513","18.1",0,"5.82115","2.8016",24,0,"20.2","0.713",666,"20.2","89.9"
"3.561","18.1",0,"4.55587","1.6132",24,0,"27.5","0.718",666,"20.2","87.9"
"5.741","5.13",0,"0.14932","7.2254",8,25,"18.7","0.453",284,"19.7","66.2"
"6.459","18.1",0,"10.6718","1.9879",24,0,"11.8","0.74",666,"20.2","94.8"
"7.393","18.1",0,"8.24809","2.4527",24,0,"17.8","0.713",666,"20.2","99.3"
"5.427","18.1",0,"8.05579","2.4298",24,0,"13.8","0.584",666,"20.2","95.4"
"6.415","7.38",0,"0.34109","4.7211",5,0,25,"0.493",287,"19.6","40.1"
"6.739","3.44",0,"0.06911","6.4798",5,45,"30.5","0.437",398,"15.2","30.8"
"6.456","5.13",0,"0.11027","7.2255",8,25,"22.2","0.453",284,"19.7","67.8"
"5.836","8.56",0,"0.1712","2.211",5,0,"19.5","0.52",384,"20.9","91.9"
"5.927","5.13",0,"0.10328","6.932",8,25,"19.6","0.453",284,"19.7","47.2"
"5.593","5.86",0,"0.20608","7.9549",7,22,"17.6","0.431",330,"19.1","76.5"
"6.812","3.33",0,"0.21038","4.1007",5,20,"35.1","0.4429",216,"14.9","32.2"
"5.757","18.1",0,"51.1358","1.413",24,0,15,"0.597",666,"20.2",100
"8.78","18.1",1,"3.47428","1.9047",24,0,"21.9","0.718",666,"20.2","82.9"
"6.495","8.14",0,"0.77299","4.4547",4,0,"18.4","0.538",307,21,"94.4"
"6.209","18.1",0,"7.83932","2.9634",24,0,"21.4","0.655",666,"20.2","65.4"
"6.122","19.58",0,"1.6566","1.618",5,0,"21.5","0.871",403,"14.7","97.3"
"6.312","18.1",0,"3.67367","3.9917",24,0,"21.2","0.583",666,"20.2","51.9"
"6.229","18.1",0,"14.3337","1.9512",24,0,"21.4","0.614",666,"20.2",88
"5.965","8.14",0,"0.85204","4.0123",4,0,"19.6","0.538",307,21,"89.2"
"6.108","3.64",0,"0.04819","9.2203",1,80,"21.9","0.392",315,"16.4",32
"6.182","10.59",0,"0.19802","3.9454",4,0,25,"0.489",277,"18.6","42.4"
"6.728","2.02",0,"0.01709","12.1265",5,90,"30.1","0.41",187,17,"36.1"
"6.968","18.1",0,"88.9762","1.4165",24,0,"10.4","0.671",666,"20.2","91.9"
"5.85","5.96",0,"0.08014","3.9342",5,0,21,"0.499",279,"19.2","41.5"
"6.345","2.24",0,"0.06466","7.8278",5,70,"22.5","0.4",358,"14.8","20.1"
"4.906","18.1",0,"11.1081","1.1742",24,0,"13.8","0.668",666,"20.2",100
"5.942","21.89",0,"0.32264","1.9669",4,0,"17.4","0.624",437,"21.2","93.5"
"5.856","6.96",0,"0.29916","4.429",3,20,"21.1","0.464",223,"18.6","42.1"
"6.426","7.38",0,"0.1676","4.5404",5,0,"23.8","0.493",287,"19.6","52.3"
"6.13","19.58",0,"2.37934","1.4191",5,0,"13.8","0.871",403,"14.7",100
"5.707","9.69",0,"0.17331","2.3817",6,0,"21.8","0.585",391,"19.2",54
"6.8","2.93",0,"0.02187","6.2196",1,60,"31.1","0.401",265,"15.6","9.9"
"5.52","18.1",0,"7.99248","1.5331",24,0,"12.3","0.7",666,"20.2",100
"4.973","9.9",0,"2.63548","2.5194",4,0,"16.1","0.544",304,"18.4","37.8"
"5.597","19.58",0,"2.73397","1.5257",5,0,"15.4","0.871",403,"14.7","94.9"
"6.402","19.58",0,"2.44953","2.2625",5,0,"22.3","0.605",403,"14.7","95.2"
"7.287","1.52",0,"0.04011","7.309",2,80,"33.3","0.404",329,"12.6","34.1"
"6.229","8.56",0,"0.26363","2.5451",5,0,"19.4","0.52",384,"20.9","91.2"
"6.376","18.1",0,"3.69311","2.5671",24,0,"17.7","0.713",666,"20.2","88.4"
"5.67","9.69",0,"0.17899","2.7986",6,0,"23.1","0.585",391,"19.2","28.8"
"6.635","2.01",0,"0.01501","8.344",4,80,"24.5","0.435",280,17,"29.7"
"6.015","4.49",0,"0.05188","4.4272",3,0,"22.5","0.449",247,"18.5","45.1"
"6.406","18.1",0,"9.72418","2.0651",24,0,"17.1","0.74",666,"20.2","97.2"
"6.715","10.01",0,"0.10084","2.6775",6,0,"22.8","0.547",432,"17.8","81.6"
"5.186","19.58",0,"2.33099","1.5296",5,0,"17.8","0.871",403,"14.7","93.8"
"5.608","18.1",0,"11.9511","1.2852",24,0,"27.9","0.659",666,"20.2",100
"6.065","10.81",0,"0.09164","5.2873",4,0,"22.8","0.413",305,"19.2","7.8"
"5.617","18.1",0,"7.40389","1.4547",24,0,"17.2","0.597",666,"20.2","97.9"
"5.856","25.65",0,"0.15038","1.9444",2,0,"17.3","0.581",188,"19.1",97
"6.567","9.9",0,"0.3692","3.6023",4,0,"23.8","0.544",304,"18.4","87.3"
"6.113","9.9",0,"0.47547","4.0019",4,0,21,"0.544",304,"18.4","58.8"
"5.877","19.58",0,"1.80028","2.4259",5,0,"23.8","0.605",403,"14.7","79.2"
"6.153","2.46",0,"0.06047","3.2797",3,0,"29.6","0.488",193,"17.8","68.8"
"6.431","21.89",0,"0.32543","1.8125",4,0,18,"0.624",437,"21.2","98.8"
"4.652","18.1",0,"24.3938","1.4672",24,0,"10.5","0.7",666,"20.2",100
"6.319","19.58",0,"2.3004","2.1",5,0,"23.8","0.605",403,"14.7","96.1"
"6.395","18.1",1,"3.8497","2.5052",24,0,"21.7","0.77",666,"20.2",91
"4.628","18.1",0,"18.811","1.5539",24,0,"17.9","0.597",666,"20.2",100
"5.731","10.01",0,"0.14476","2.7592",6,0,"19.3","0.547",432,"17.8","65.2"
"8.375","19.58",1,"1.51902","2.162",5,0,50,"0.605",403,"14.7","93.9"
"6.879","6.2",1,"0.62356","3.2721",8,0,"27.5","0.507",307,"17.4","77.7"
"6.474","8.56",0,"0.12802","2.4329",5,0,"19.8","0.52",384,"20.9","97.1"
"5.935","8.14",0,"1.05393","4.4986",4,0,"23.1","0.538",307,21,"29.3"
"6.162","2.03",0,"0.03445","6.27",2,"82.5","24.1","0.415",348,"14.7","38.4"
"5.981","6.2",0,"0.537","3.6715",8,0,"24.3","0.504",307,"17.4","68.1"
"6.373","13.89",1,"0.11425","3.3633",5,0,23,"0.55",276,"16.4","92.4"
"6.211","15.04",0,"0.02875","3.6659",4,28,25,"0.464",270,"18.2","28.9"
"6.649","18.1",0,"15.288","1.3449",24,0,"13.9","0.671",666,"20.2","93.3"
"6.726","6.2",1,"0.44791","3.6519",8,0,29,"0.507",307,"17.4","66.5"
"7.923","1.21",1,"0.01501","5.885",1,90,50,"0.401",198,"13.6","24.8"
"5.727","8.14",0,"0.7258","3.7965",4,0,"18.2","0.538",307,21,"69.5"
"5.572","4.05",0,"0.13914","2.5961",5,0,"23.1","0.51",296,"16.6","88.5"
"6.525","18.1",0,"4.75237","2.4358",24,0,"14.1","0.713",666,"20.2","86.5"
"6.23","1.76",0,"0.01965","9.0892",1,80,"20.1","0.385",241,"18.2","31.5"
"6.485","18.1",0,"9.96654","1.9784",24,0,"15.4","0.74",666,"20.2",100
"5.926","9.69",0,"0.27957","2.3817",6,0,"24.5","0.585",391,"19.2","42.6"
"6.137","8.56",0,"0.21161","2.7147",5,0,"19.3","0.52",384,"20.9","87.4"
"5.412","10.59",0,"0.28955","3.5875",4,0,"23.7","0.489",277,"18.6","9.8"
"6.29","3.37",0,"0.03584","6.6115",4,80,"23.5","0.398",337,"16.1","17.8"
"6.565","5.32",0,"0.04297","7.3172",6,"52.5","24.8","0.405",293,"16.6","22.9"
"5.936","1.91",0,"0.10659","10.5857",4,80,"20.6","0.413",334,22,"19.5"
"6.326","10.59",0,"0.22969","4.3549",4,0,"24.4","0.489",277,"18.6","52.5"
"5.837","18.1",0,"12.2472","1.9976",24,0,"10.2","0.584",666,"20.2","59.7"
"6.678","13.92",0,"0.12932","5.9604",4,0,"28.6","0.437",289,16,"31.1"
"6.781","8.56",0,"0.11432","2.8561",5,0,"26.5","0.52",384,"20.9","71.3"
"6.762","5.13",0,"0.1265","7.9809",8,25,25,"0.453",284,"19.7","43.4"
"6.101","19.58",0,"2.924","2.2834",5,0,25,"0.605",403,"14.7",93
"6.545","18.1",0,"15.8744","1.5192",24,0,"10.9","0.671",666,"20.2","99.1"
"5.926","18.1",0,"15.5757","2.9084",24,0,"19.1","0.58",666,"20.2",71
"6.069","6.91",0,"0.12269","5.7209",3,0,"21.2","0.448",233,"17.9",40
"7.802","19.58",1,"1.83377","2.0407",5,0,50,"0.605",403,"14.7","98.2"
"7.185","3.44",0,"0.0837","4.5667",5,45,"34.9","0.437",398,"15.2","38.9"
"6.348","18.1",0,"8.49213","2.0527",24,0,"14.5","0.584",666,"20.2","86.1"
"6.487","5.86",0,"0.1403","7.3967",7,22,"24.4","0.431",330,"19.1",13
"6.114","18.1",0,"5.69175","3.5459",24,0,"19.1","0.583",666,"20.2","79.8"
"6.816","1.32",0,"0.01432","8.3248",5,100,"31.6","0.411",256,"15.1","40.5"
"6.169","6.91",0,"0.1415","5.7209",3,0,"25.3","0.448",233,"17.9","6.6"
"5.961","10.81",0,"0.15876","5.2873",4,0,"21.7","0.413",305,"19.2","17.5"
"5.093","27.74",0,"0.20746","1.8226",4,0,"8.1","0.609",711,"20.1",98
"5.708","7.38",0,"0.28392","4.7211",5,0,"18.5","0.493",287,"19.6","74.3"
"6.358","4.93",0,"0.1029","7.0355",6,30,"22.2","0.428",300,"16.6","52.9"
"6.152","18.1",0,"15.1772","1.9142",24,0,"8.7","0.74",666,"20.2",100
"5.277","18.1",0,"16.8118","1.4261",24,0,"7.2","0.7",666,"20.2","98.1"
"6.211","6.91",0,"0.15936","5.7209",3,0,"24.7","0.448",233,"17.9","6.5"
"6.727","8.56",0,"0.14866","2.7778",5,0,"27.5","0.52",384,"20.9","79.9"
"6.145","5.13",0,"0.15445","7.8148",8,25,"23.3","0.453",284,"19.7","29.2"
"6.982","6.09",0,"0.1","5.4917",7,34,"33.1","0.433",329,"16.1","17.7"
"6.167","18.1",0,"4.34879","3.0334",24,0,"19.9","0.58",666,"20.2",84
"5.783","10.59",0,"0.25199","4.3549",4,0,"22.5","0.489",277,"18.6","72.7"
"6.209","5.32",0,"0.03871","7.3172",6,"52.5","23.2","0.405",293,"16.6","31.3"
"6.484","18.1",0,"4.87141","2.3053",24,0,"16.7","0.614",666,"20.2","93.6"
"6.38","18.1",0,"23.6482","1.3861",24,0,"13.1","0.671",666,"20.2","96.2"
"6.458","21.89",0,"0.34006","2.1185",4,0,"19.2","0.624",437,"21.2","98.9"
"7.313","18.1",0,"19.6091","1.3163",24,0,15,"0.671",666,"20.2","97.9"
"6.593","11.93",0,"0.06263","2.4786",1,0,"22.4","0.573",273,21,"69.1"
"6.563","2.46",0,"0.10008","2.847",3,0,"32.5","0.488",193,"17.8","95.6"
"6.425","18.1",0,"6.44405","2.2004",24,0,"16.1","0.584",666,"20.2","74.8"
"7.107","1.52",0,"0.04666","7.309",2,80,"30.3","0.404",329,"12.6","36.6"
"6.616","2.18",0,"0.05479","3.37",7,33,"28.4","0.472",222,"18.4","58.1"
"6.511","5.64",0,"0.0536","6.8147",4,21,25,"0.439",243,"16.8","21.1"
"7.853","2.68",0,"0.0351","5.118",4,95,"48.5","0.4161",224,"14.7","33.2"
"5.852","18.1",0,"9.91655","1.5004",24,0,"6.3","0.693",666,"20.2","77.8"
"5.963","5.64",0,"0.08873","6.8147",4,21,"19.7","0.439",243,"16.8","45.7"
"6.112","18.1",0,"4.26131","2.5091",24,0,"22.6","0.77",666,"20.2","81.3"
"5.531","18.1",0,"41.5292","1.6074",24,0,"8.5","0.693",666,"20.2","85.4"
"7.645","3.33",1,"0.06129","5.2119",5,20,46,"0.4429",216,"14.9","49.7"
"5.92","6.96",1,"0.09065","3.9175",3,20,"20.7","0.464",223,"18.6","61.5"
"6.575","2.31",0,"0.00632","4.09",1,18,24,"0.538",296,"15.3","65.2"
"5.682","6.91",0,"0.17142","5.1004",3,0,"19.3","0.448",233,"17.9","33.8"
"6.164","6.2",1,"0.40771","3.048",8,0,"21.7","0.507",307,"17.4","91.3"
"6.75","18.1",0,"5.70818","3.3317",24,0,"23.7","0.532",666,"20.2","74.9"
"6.98","2.46",0,"0.0578","2.829",3,0,"37.2","0.488",193,"17.8","58.4"
"5.914","9.9",0,"0.31827","3.9986",4,0,"17.8","0.544",304,"18.4","83.2"
"7.135","1.47",0,"0.01778","7.6534",3,95,"32.9","0.403",402,17,"13.9"
"6.279","12.83",0,"0.10153","4.0522",5,0,20,"0.437",398,"18.7","74.5"
"6.003","18.1",0,"4.42228","2.5403",24,0,"19.1","0.584",666,"20.2","94.5"
"6.185","18.1",0,"10.233","2.1705",24,0,"14.6","0.614",666,"20.2","96.7"
"6.727","4.86",0,"0.04113","5.4007",4,25,28,"0.426",281,19,"33.5"
"7.206","3.97",0,"0.55007","1.9301",5,20,"36.5","0.647",264,13,"91.6"
"6.302","4.86",0,"0.03659","5.4007",4,25,"24.8","0.426",281,19,"32.2"
"7.765","2.46",0,"0.06588","2.741",3,0,"39.8","0.488",193,"17.8","83.3"
"6.273","12.83",0,"0.07896","4.2515",5,0,"24.1","0.437",398,"18.7",6
"6.064","10.59",1,"0.13587","4.2392",4,0,"24.4","0.489",277,"18.6","59.1"
"5.952","18.1",0,"3.77498","2.8715",24,0,19,"0.655",666,"20.2","84.7"
"7.024","2.95",0,"0.03359","5.4011",3,75,"34.9","0.428",252,"18.3","15.8"
"6.249","15.04",0,"0.04294","3.615",4,28,"20.6","0.464",270,"18.2","77.3"
"5.834","8.14",0,"0.62739","4.4986",4,0,"19.9","0.538",307,21,"56.5"
"6.219","18.1",0,"5.66637","2.0048",24,0,"18.4","0.74",666,"20.2",100
"5.631","7.87",0,"0.21124","6.0821",5,"12.5","16.5","0.524",311,"15.2",100
"6.12","11.93",0,"0.04527","2.2875",1,0,"20.6","0.573",273,21,"76.7"
"5.786","6.91",0,"0.18836","5.1004",3,0,20,"0.448",233,"17.9","33.3"
"5.272","19.58",0,"2.44668","1.7364",5,0,"13.1","0.871",403,"14.7",94
"7.236","2.18",0,"0.05515","4.022",7,33,"36.1","0.472",222,"18.4","41.1"
"6.021","10.01",0,"0.15098","2.7474",6,0,"19.2","0.547",432,"17.8","82.6"
"6.975","1.47",0,"0.0315","7.6534",3,95,"34.9","0.403",402,17,"15.3"
"4.903","19.58",0,"2.77974","1.3459",5,0,"11.8","0.871",403,"14.7","97.8"
"7.454","3.75",0,"0.01538","6.3361",3,90,44,"0.394",244,"15.9","34.2"
"8.337","6.2",0,"0.57529","3.8384",8,0,"41.7","0.507",307,"17.4","73.3"
"6.341","18.1",0,"6.28807","2.072",24,0,"14.9","0.74",666,"20.2","96.4"
"5.759","18.1",0,"3.1636","3.0665",24,0,"19.9","0.655",666,"20.2","48.2"
"6.417","3.41",0,"0.04684","3.0923",2,0,"22.6","0.489",270,"17.8","66.1"
"6.782","18.1",0,"10.8342","1.8195",24,0,"7.5","0.679",666,"20.2","90.8"
"6.631","6.2",1,"0.52058","4.148",8,0,"25.1","0.507",307,"17.4","76.5"
"6.014","4.39",0,"0.03113","8.0136",3,0,"17.5","0.442",352,"18.8","48.5"
"8.259","5.86",0,"0.36894","8.9067",7,22,"42.8","0.431",330,"19.1","8.4"
"7.104","1.38",0,"0.01951","9.2229",3,"17.5",33,"0.4161",216,"18.6","59.5"
"5.813","8.14",0,"0.67191","4.682",4,0,"16.6","0.538",307,21,"90.3"
"6.852","18.1",0,"14.4383","1.4655",24,0,"27.5","0.597",666,"20.2",100
"7.241","1.52",0,"0.01301","7.0379",1,35,"32.7","0.442",284,"15.5","49.3"
"5.859","4.05",0,"0.08447","2.7019",5,0,"22.6","0.51",296,"16.6","68.7"
"6.286","12.83",0,"0.09512","4.5026",5,0,"21.4","0.437",398,"18.7",45
"6.376","7.38",0,"0.18159","4.5404",5,0,"23.1","0.493",287,"19.6","54.3"
"7.333","3.97",0,"0.66351","1.8946",5,20,36,"0.647",264,13,100
"6.434","18.1",0,"18.0846","1.8347",24,0,"7.2","0.679",666,"20.2",100
"5.757","21.89",0,"0.97617","2.346",4,0,"15.6","0.624",437,"21.2","98.4"
"6.957","5.86",0,"0.08221","8.9067",7,22,"29.6","0.431",330,"19.1","6.8"
"5.304","18.1",0,"25.9406","1.6475",24,0,"10.4","0.679",666,"20.2","89.1"
"7.061","18.1",0,"5.73116","3.4106",24,0,25,"0.532",666,"20.2",77
"5.957","18.1",0,"73.5341","1.8026",24,0,"8.8","0.679",666,"20.2",100
"6.02","4.05",0,"0.07022","3.5549",5,0,"23.2","0.51",296,"16.6","47.2"
"7.412","6.2",0,"0.46296","3.6715",8,0,"31.7","0.504",307,"17.4","76.9"
"6.122","9.9",0,"0.79041","2.6403",4,0,"22.1","0.544",304,"18.4","52.8"
"5.628","19.58",0,"2.15505","1.5166",5,0,"15.6","0.871",403,"14.7",100
"5.468","19.58",0,"4.0974","1.4118",5,0,"15.6","0.871",403,"14.7",100
"7.875","0.46",0,"0.01381","5.6484",4,80,50,"0.422",255,"14.4",32
"6.193","18.1",0,"8.64476","1.7912",24,0,"13.8","0.693",666,"20.2","92.6"
"6.618","6.2",0,"0.6147","3.2721",8,0,"30.1","0.507",307,"17.4","80.8"
"5.693","21.89",0,"0.25915","1.7883",4,0,"16.2","0.624",437,"21.2",96
"6.728","18.1",0,"9.51363","2.4961",24,0,"14.9","0.713",666,"20.2","94.1"
"7.327","3.97",0,"0.82526","2.0788",5,20,31,"0.647",264,13,"94.5"
"4.963","18.1",0,"3.69695","1.7523",24,0,"21.9","0.718",666,"20.2","91.4"
"5.648","18.1",0,"12.0482","1.9512",24,0,"20.8","0.614",666,"20.2","87.6"
"6.229","18.1",0,"4.03841","3.0993",24,0,"19.6","0.532",666,"20.2","90.7"
"5.404","19.58",0,"1.49632","1.5916",5,0,"19.6","0.871",403,"14.7",100
"5.874","12.83",0,"0.08387","4.5026",5,0,"20.3","0.437",398,"18.7","36.6"
"5.968","5.19",0,"0.06151","4.8122",5,0,"18.7","0.515",224,"20.2","58.5"
"5.889","7.87",0,"0.09378","5.4509",5,"12.5","21.7","0.524",311,"15.2",39
"5.414","27.74",0,"0.18337","1.7554",4,0,7,"0.609",711,"20.1","98.3"
"5.709","19.58",0,"2.14918","1.6232",5,0,"19.4","0.871",403,"14.7","98.5"
"5.663","1.91",0,"0.04301","10.5857",4,80,"18.2","0.413",334,22,"21.9"
"6.54","1.89",0,"0.02498","6.2669",1,0,"16.5","0.518",422,"15.9","59.7"
"6.372","21.89",0,"0.59005","2.3274",4,0,23,"0.624",437,"21.2","97.9"
"6.471","18.1",0,"8.71675","1.7257",24,0,"13.1","0.693",666,"20.2","98.8"
"6.144","2.46",0,"0.06888","2.5979",3,0,"36.2","0.488",193,"17.8","62.2"
"6.393","4.93",0,"0.12757","7.0355",6,30,"23.7","0.428",300,"16.6","7.8"
"5.972","9.9",0,"0.3494","3.1025",4,0,"20.3","0.544",304,"18.4","76.7"
"6.546","4.05",0,"0.06664","3.1323",5,0,"29.4","0.51",296,"16.6","33.1"
"6.051","18.1",0,"5.29305","2.1678",24,0,"23.2","0.7",666,"20.2","82.5"
"5.936","18.1",0,"8.20058","2.7792",24,0,"13.5","0.713",666,"20.2","80.3"
"7.178","3.44",0,"0.08664","6.4798",5,45,"36.4","0.437",398,"15.2","26.3"
"5.403","19.58",1,"3.32105","1.3216",5,0,"13.4","0.871",403,"14.7",100
"6.382","9.9",0,"0.40202","3.5325",4,0,"23.1","0.544",304,"18.4","67.2"
